Number,Initial Letter,Name,Status,Theme,Year,Type,Notes,Priority,No. of Citations,Author,Abstract,Tags,Keywords,Url,Issn,Doi,Aim
30,I,Increasing transparency in machine learning through bootstrap simulation and shapely additive explanations,Not started,,2023,,,,,"Alexander A. Huang, Samuel Y. Huang","Machine learning methods are widely used within the medical field. However, the reliability and efficacy of these models is difficult to assess, making it difficult for researchers to identify which machine-learning model to apply to their dataset. We assessed whether variance calculations of model metrics (e.g., AUROC, Sensitivity, Specificity) through bootstrap simulation and SHapely Additive exPlanations (SHAP) could increase model transparency and improve model selection. Data from the England National Health Services Heart Disease Prediction Cohort was used. After comparison of model metrics for XGBoost, Random Forest, Artificial Neural Network, and Adaptive Boosting, XGBoost was used as the machine-learning model of choice in this study. Boost-strap simulation (N = 10,000) was used to empirically derive the distribution of model metrics and covariate Gain statistics. SHapely Additive exPlanations (SHAP) to provide explanations to machine-learning output and simulation to evaluate the variance of model accuracy metrics. For the XGBoost modeling method, we observed (through 10,000 completed simulations) that the AUROC ranged from 0.771 to 0.947, a difference of 0.176, the balanced accuracy ranged from 0.688 to 0.894, a 0.205 difference, the sensitivity ranged from 0.632 to 0.939, a 0.307 difference, and the specificity ranged from 0.595 to 0.944, a 0.394 difference. Among 10,000 simulations completed, we observed that the gain for Angina ranged from 0.225 to 0.456, a difference of 0.231, for Cholesterol ranged from 0.148 to 0.326, a difference of 0.178, for maximum heart rate (MaxHR) ranged from 0.081 to 0.200, a range of 0.119, and for Age ranged from 0.059 to 0.157, difference of 0.098. Use of simulations to empirically evaluate the variability of model metrics and explanatory algorithms to observe if covariates match the literature are necessary for increased transparency, reliability, and utility of machine learning methods. These variance statistics, combined with model accuracy statistics can help researchers identify the best model for a given dataset.","Artificial Intelligence, Data Analytics, Machine Learning",,,19326203,10.1371/journal.pone.0281922,
31,I,"International Expert Consensus Document on Takotsubo Syndrome (Part I): Clinical Characteristics, Diagnostic Criteria, and Pathophysiology",Not started,,2018,,,,,"Abhiram Prasad, Abhishek Deshmukh, Alexander R. Lyon, Amir Lerman, Charanjit Rihal, Christian Templin, David Winchester, Domenico Corrado, Eduardo Bossone, Elmir Omerovic, Federico Migliore, Filippo Crea, Frank Ruschitzka, Guiseppe Tarantini, Hiroaki Shimokawa, Holger M. Nef, Ilan Shor Wittstein, Ingo Eitel, Jelena Rima Ghadri, Jeroen J. Bax, John D. Horowitz, Keigo Dote, Leonarda Galiuto, Masami Kosuge, Patrick Meimoun, Roberto Manfredini, Rodolfo Citro, Satoshi Kurisu, Scott Sharkey, Shams Y. Hassan, Takashi Ueyama, Tetsuro Yoshida, Thomas Felix Lüscher, Victoria Lucia Cammann, Walter Desmet, Yoshihiro John Akashi","Takotsubo syndrome (TTS) is a poorly recognized heart disease that was initially regarded as a benign condition. Recently, it has been shown that TTS may be associated with severe clinical complications including death and that its prevalence is probably underestimated. Since current guidelines on TTS are lacking, it appears timely and important to provide an expert consensus statement on TTS. The clinical expert consensus document part I summarizes the current state of knowledge on clinical presentation and characteristics of TTS and agrees on controversies surrounding TTS such as nomenclature, different TTS types, role of coronary artery disease, and etiology. This consensus also proposes new diagnostic criteria based on current knowledge to improve diagnostic accuracy.","Acute Heart Failure, Broken Heart Syndrome, Consensus Statement, Intertak Diagnostic Criteria, Takotsubo Definition, Takotsubo Syndrome","Acute heart failure,Broken heart syndrome,Consensus statement,InterTAK Diagnostic Criteria,Takotsubo definition,Takotsubo syndrome",,15229645,10.1093/eurheartj/ehy076,
32,L,Left ventricular myocardial deformation in Takotsubo syndrome: a cardiovascular magnetic resonance myocardial feature tracking study,Not started,,2018,,,,,"Adriana Villa, Amedeo Chiribiri, Andreas Schuster, Christian Möller, Christina Villnow, Gerd Hasenfuß, Holger Thiele, Ingo Eitel, Joachim Lotz, Johannes T. Kowallick, Thomas Stiermaier, Tobias Graf, Torben Lange, Uwe Raaz","Objectives: This study assessed the applicability and prognostic value of cardiovascular magnetic resonance (CMR) left ventricular deformation analysis in Takotsubo syndrome (TTS). Methods: CMR-feature tracking was performed blinded in a core laboratory to determine circumferential (CS), radial (RS) and longitudinal strain (LS) in 141 TTS patients participating in this cohort study. A subgroup of consecutive TTS patients (n = 20) was compared with age- and sex-matched controls with anterior ST-segment elevation myocardial infarction (STEMI) and non-STEMI as well as healthy subjects. Results: Median global CS, RS and LS were -19%, 19% and -12%, respectively. Apical ballooning was associated with significantly lower global CS (p < 0.01) and LS (p < 0.01) compared with midventricular and basal ballooning. Global RS was lowest in patients with basal ballooning (p < 0.01). Segmental analysis resulted in a reliable discrimination of different ballooning patterns using CS and LS. Strain values were significantly lower in TTS compared with non-STEMI patients and healthy subjects, whereas STEMI patients showed similar values. While global CS and RS were not associated with long-term mortality, global LS (cutoff -14.75%) was identified as a potential parameter for long-term risk stratification (mortality rate 17.9% versus 2.5%; p = 0.02). Conclusions: The transient contraction abnormalities in TTS can be quantitatively assessed with CMR-feature tracking. GLS is a potential determinant of outcome in TTS, which, however, requires further validation. Key Points: • Cardiovascular magnetic resonance myocardial feature tracking enables accurate assessment of regional and global left ventricular dysfunction in Takotsubo syndrome (TTS). • Global strain in TTS is similar to patients with anterior STEMI and lower compared with non-STEMI and healthy subjects. • Global longitudinal strain is a potential tool for risk prediction in TTS patients.","Left, Magnetic Resonance Imaging, Prognosis, Strain, Takotsubo Cardiomyopathy, Ventricular Function","Magnetic resonance imaging,Prognosis,Strain,Takotsubo cardiomyopathy,Ventricular function, left",,14321084,10.1007/s00330-018-5475-2,
33,M,"Machine learning approach in diagnosing Takotsubo cardiomyopathy: The role of the combined evaluation of atrial and ventricular strain, and parametric mapping",Not started,,2023,,,,,"Antonio Amadu, Antonio Esposito, Filippo Cademartiri, Francesco Pisu, Giuseppe Muscogiuri, Jasjit S. Suri, Luca Saba, Michele Porcu, Pierpaolo Bassareo, Riccardo Cau, Roberta Montisci, Sandro Sironi","Background: Cardiac magnetic resonance (CMR) with late gadolinium enhancement (LGE) is a key diagnostic tool in the differential diagnosis between non-ischemic cause of cardiac chest pain. Some patients are not eligible for a gadolinium contrast-enhanced CMR; in this scenario, the diagnosis remains challenging without invasive examination. Our purpose was to derive a machine learning model integrating some non-contrast CMR parameters and demographic factors to identify Takotsubo cardiomyopathy (TTC) in subjects with cardiac chest pain. Material and methods: Three groups of patients were retrospectively studied: TTC, acute myocarditis, and healthy controls. Global and regional left ventricular longitudinal, circumferential, and radial strain (RS) analysis included were assessed. Reservoir, conduit, and booster bi-atrial functions were evaluated by tissue-tracking. Parametric mapping values were also assessed in all the patients. Five different tree-based ensemble learning algorithms were tested concerning their ability in recognizing TTC in a fully cross-validated framework. Results: The CMR-based machine learning (ML) ensemble model, by using the Extremely Randomized Trees algorithm with Elastic Net feature selection, showed a sensitivity of 92% (95% CI 78–100), specificity of 86% (95% CI 80–92) and area under the ROC of 0.94 (95% CI 0.90–0.99) in diagnosing TTC. Among non-contrast CMR parameters, the Shapley additive explanations analysis revealed that left atrial (LA) strain and strain rate were the top imaging markers in identifying TTC patients. Conclusions: Our study demonstrated that using a tree-based ensemble learning algorithm on non-contrast CMR parameters and demographic factors enables the identification of subjects with TTC with good diagnostic accuracy. Translational outlook: Our results suggest that non-contrast CMR features can be implemented in a ML model to accurately identify TTC subjects. This model could be a valuable tool for aiding in the diagnosis of subjects with a contraindication to the contrast media. Furthermore, the left atrial conduit strain and strain rate were imaging markers that had a strong impact on TTC identification. Further prospective and longitudinal studies are needed to validate these findings and assess predictive performance in different cohorts, such as those with different ethnicities, and social backgrounds and undergoing different treatments.","Cmr, Machine Learning, Myocardial Strain, Takotsubo","CMR,Machine learning,Myocardial strain,Takotsubo",,18741754,10.1016/j.ijcard.2022.11.021,
34,M,Machine Learning Approaches for Segmentation of Cardiovascular Neurocristopathy Related Images,Not started,,2023,,,,,"Ihsan Ullah, Osama Soliman, Sherif Sultan, Talha Iqbal","Cardiovascular neurocristopathy is associated with abnormal migration and development of neural crest cells, impacting the neural and the human cardiovascular system and leading to diseases such as cardiomyopathy, aortic disease, and aortic valve dysfunction. With advancements in biomedical imaging tools, efforts are made to understand the underlying causes of cardiovascular neurocristopathy and develop new diagnostic methods, especially using machine learning or specifically its sub-branch deep learning models. This article provides a systematic survey of the literature related to machine/deep learning-based segmentation of the diseases mentioned above in computer tomography (CT), magnetic resonance imaging (MRI), X-rays, and echocardiogram (Echos) images. The review identified gaps and provides future directions, such as the need for better interpretable and explainable AI models, addressing the lack of publicly available datasets, standardizing the result reporting procedure for better repeatability of the result, and the development of standard performance measurement metrics. The general conclusion suggests that there is a need for multimodalities, multimodel, high-quality data sets, and open-source disease-specific dataspaces that will help develop trustworthy deep learning models that could be implemented in imaging devices/tools and provide medical-grade segmented outputs that will augment and speed up clinician decision making.","Automation, Cardiovascular, Deep Learning, Imaging, Machine Learning, Neural Networks, Neurocristopathy, Segmentation","Cardiovascular,automation,deep learning,imaging,machine learning,neural networks,neurocristopathy,segmentation",,21693536,10.1109/ACCESS.2023.3325960,
35,M,Myocardial microvascular function assessed by cardiovascular magnetic resonance first-pass perfusion in patients with Takotsubo syndrome,Not started,,2025,,,,,"Antonio Esposito, Carolina Pitzalis, Cesare Mantini, Francesco Pisu, Gianluca Pontone, Luca Saba, Maria Francesca Marchetti, Riccardo Cau, Roberta Montisci, Rodrigo Salgado","Objective: The purpose of this study was to explore microvascular function impairment using first-pass cardiovascular magnetic resonance (CMR) in patients with Takotsubo syndrome (TS). Moreover, we explored myocardial microcirculation in patients with TS and related this to demographic data, cardiovascular risk factors, clinical parameters, cardiac biomarkers, and cardiac function. Methods: This retrospective study performed CMR first-pass perfusion scans in 42 consecutive patients with TS (37 females, 70.6 ± 9.4 years). Moreover, we included 44 sex- and age-matched healthy controls (33 females, 66.4 ± 10.5 years). CMR-derived myocardial microcirculation function was analyzed and compared between TS patients and controls. Results: Compared to age-, sex-, and cardiovascular risk factors-matched control group, TS patients demonstrated a lower perfusion index (PI) (0.140 ± 0.060 vs. 0.182 ± 0.056, p = 0.001). In multivariable analysis with adjustment for demographic data and cardiovascular risk factors, an impairment in PI was independently associated with left ventricle ejection fraction (β coefficient = 3.793, p = 0.001) and T2 mapping (β coefficient = −4.316, p = 0.001). Conclusion: TS patients exhibited myocardial microvascular dysfunction, which was non-invasively assessed using first-pass CMR. This impaired myocardial microvascular function was found to be independently associated with left ventricular ejection fraction and myocardial edema. Key Points: Question Can cardiovascular magnetic resonance (CMR) cardiac MR first-pass perfusion help to better understand Takotsubo pathophysiology by exploring microvascular impairment? Findings CMR first-pass perfusion revealed significant microvascular dysfunction during the acute phase of Takotsubo syndrome, independently associated with left ventricular ejection fraction and myocardial edema. Clinical relevance Identifying an abnormal microvascular network using non-invasive biomarkers could enhance risk stratification and guide tailored management during the acute phase of Takotsubo syndrome.","Magnetic Resonance Imaging, Microcirculation, Perfusion, Takotsubo Syndrome","Magnetic resonance imaging,Microcirculation,Perfusion,Takotsubo syndrome",,14321084,10.1007/s00330-024-11340-z,
36,P,Pathophysiology of stress cardiomyopathy: A comprehensive literature review,Not started,,2022,Review,,,,"Ahmad Nabil Alhouri, Hasan Nabil Al Houri, Massa Jabra, Sami Jomaa, Youssef Latifeh","Introduction: Takotsubo cardiomyopathy is a transient type of acute heart failure with distinct wall motion abnormalities and unclear pathophysiology. This review focuses on the proposed pathophysiological mechanisms that could be involved in the occurrence takotsubo cardiomyopathy. Main body: Acute stress and subsequent excessive activation of the sympathetic nervous system are major factors in the pathophysiology of takotsubo cardiomyopathy. The high levels of catecholamine work in a triggering manner, generate reactive oxygen species, release inflammatory cytokines, and induce endothelial injury. The incidence of Takotsubo cardiomyopathy has increased following COVID-19 infection and vaccination, which suggests that neurohormonal and psychological factors (i.e., fear and anxiety of infection or vaccination) may have an additional role in the pathophysiology. In addition, inflammatory state, cytokine storm, augmented sympathetic activity, and endothelial dysfunction during the acute phase of COVID-19 infection may participate in Takotsubo cardiomyopathy. Chronic stress is also linked to this complex mechanism by accelerating cripple of endocrinal hypothalamic-pituitary-adrenal axis activity, which influences the cortisol effect on releasing catecholamine, which is directly related to the pathogenesis of takotsubo cardiomyopathy. Conclusion: The excessive activation of the sympathetic nervous system and subsequent high levels of catecholamines could initiate the process. The catecholamines, in turn, generate reactive oxygen species and release inflammatory cytokines (i.e., IL-1, IL-2, IL-6, IL-7, IL-8, CXCL1, TNF-α, and IFN-γ), which causes endothelial injury.","Literature Review, Pathophysiology, Stress-induced Cardiomyopathy, Takotsubo Cardiomyopathy, Takotsubo Syndrome","Literature review,Pathophysiology,Stress-induced cardiomyopathy,Takotsubo cardiomyopathy,Takotsubo syndrome",,20490801,10.1016/j.amsu.2022.104671,
37,P,Pathophysiology of takotsubo cardiomyopathy: Reopened debate,Not started,,2021,,,,,"Carlo Uribe, Jonathan M. Tobis, Paolo Angelini","Takotsubo cardiomyopathy (TTC), a persistently obscure dysfunctional condition of the left ventricle, is uniquely transient but nevertheless dangerous. It features variable ventricular patterns and is predominant in women. For 30 years, pathophysiologic investigations have progressed only slowly and with inadequate focus. It was initially proposed that sudden-onset spastic obliteration of coronary flow induced myocardial ischemia with residual stunning and thus TTC. Later, it was generally accepted without proof that, in the presence of pain or emotional stress, the dominant mechanism for TTC onset was a catecholamine surge that had a direct, toxic myocardial effect. We think that the manifestations of TTC are more dynamic and complex than can be assumed from catecholamine effects alone. In addition, after reviewing the recent medical literature and considering our own clinical observations, especially on spasm, we theorize that atherosclerotic coronary artery disease modulates and physically opposes obstruction during spasm. This phenomenon may explain the midventricular variant of TTC and the lower incidence of TTC in men. We continue to recommend and perform acetylcholine testing to reproduce TTC and to confirm our theory that coronary spasm is its initial pathophysiologic factor. An improved understanding of TTC is especially important because of the condition’s markedly increased incidence during the ongoing COVID-19 pandemic. (Tex Heart Inst J 2021;48(3):e207490).","Acetylcholine, Atherosclerotic/ Physiopathology, Catechol-amines/metabolism, Coronary Artery Disease/ Complications, Coronary Vasospasm/complica-tions/physiopathology, Left/ Drug Effects, Plaque, Risk Factors, Sex Differences, Takotsubo Cardiomy-opathy/blood/etiology/ Physiopathology, Ventricular Function","Acetylcholine,Catechol-amines/metabolism,Coronary artery disease/ complications,Coronary vasospasm/complica-tions/physiopathology,Plaque, atherosclerotic/ physiopathology,Risk factors,Sex differences,Takotsubo cardiomy-opathy/blood/etiology/ physiopathology,Ventricular function, left/ drug effects",,15266702,10.14503/THIJ-20-7490,
39,P,Pathophysiology of Takotsubo syndrome – a joint scientific statement from the Heart Failure Association Takotsubo Syndrome Study Group and Myocardial Function Working Group of the European Society of Cardiology – Part 1: overview and the central role for catecholamines and sympathetic nervous system,Not started,,2022,,,,,"Alexander R. Lyon, Bastian Bruns, Birke Schneider, Bjorn Redfors, C. Gabriele Tocchetti, Christian Templin, Dana Dawson, Eduardo Bossone, Elmir Omerovic, Guido Grassi, Guido Parodi, Jelena R. Ghadri, Johannes Backs, Jolanda van der Velden, Liam S. Couch, Massimo Iacoviello, Michele Ciccarelli, Ovidiu Chioncel, Rodolfo Citro, Stephane Heymans, Thomas Thum","This is the first part of a scientific statement from the Heart Failure Association (HFA) of the European Society of Cardiology focused upon the pathophysiology of Takotsubo syndrome and is complimentary to the previous HFA position statement on Takotsubo syndrome which focused upon clinical management. In part 1 we provide an overview of the pathophysiology of Takotsubo syndrome and fundamental questions to consider. We then review and discuss the central role of catecholamines and the sympathetic nervous system in the pathophysiology, and the direct effects of high surges in catecholamines upon myocardial biology including β-adrenergic receptor signalling, G-protein coupled receptor kinases, cardiomyocyte calcium physiology, myofilament physiology, cardiomyocyte gene expression, myocardial electrophysiology and arrhythmogenicity, myocardial inflammation, metabolism and energetics. The integrated effects upon ventricular haemodynamics are discussed and integrated into the pathophysiological model.","Beta-adrenergic Signalling, Catecholamine, Electrophysiology, G-protein Coupled Receptor Kinase, Inflammation, Metabolism, Pathophysiology, Takotsubo Syndrome","Beta-adrenergic signalling,Catecholamine,Electrophysiology,G-protein coupled receptor kinase,Inflammation,Metabolism,Pathophysiology,Takotsubo syndrome",,18790844,10.1002/ejhf.2400,
38,P,Pathophysiology of Takotsubo Syndrome: JACC State-of-the-Art Review,Not started,,2021,Review,,,,"Alexander R. Lyon, Birke Schneider, Christian Templin, Elmir Omerovic, Jelena R. Ghadri, Olivier Morel, Rodolfo Citro","Takotsubo syndrome (TTS) has been a recognized clinical entity for 31 years, since its first description in 1990. TTS is now routinely diagnosed in patients who present with acute chest pain, electrocardiographic changes, troponin elevation, unobstructed coronary arteries, and a typical pattern of circumferential left ventricular wall motion abnormalities that usually involve the apical and midventricular myocardium. Increasing understanding of this intriguing syndrome stems from wider recognition, possible increasing frequency, and a rising number of publications focused on the pathophysiology in clinical and laboratory studies. A comprehensive understanding of TTS pathophysiology and evidence-based treatments are lacking, and specific and effective treatments are urgently required. This paper reviews the pathophysiology of this fascinating syndrome; what is known from both clinical and preclinical studies, including review of the evidence for microvascular dysfunction, myocardial beta-adrenergic signaling, inflammation, and electrophysiology; and where focused research needs to fill gaps in understanding TTS.","Catecholamines, Inflammation, Pathophysiology, Stress, Takotsubo Stunning, Takotsubo Syndrome, Β-adrenergic Signaling","Takotsubo stunning,Takotsubo syndrome,catecholamines,inflammation,pathophysiology,stress,β-adrenergic signaling",,15583597,10.1016/j.jacc.2020.10.060,
40,P,Potential Role of Artificial Intelligence in Cardiac Magnetic Resonance Imaging: Can It Help Clinicians in Making a Diagnosis?,Not started,,2021,,,,,"Giulio Micheletti, Jasjit S. Suri, Lorenzo Mannelli, Luca Saba, Michele Porcu, Pierpaolo Bassareo, Riccardo Cau, Valeria Cherchi","In the era of modern medicine, artificial intelligence (AI) is a growing field of interest which is experiencing a steady development. Several applications of AI have been applied to various aspects of cardiac magnetic resonance to assist clinicians and engineers in reducing the costs of exams and, at the same time, to improve image acquisition and reconstruction, thus simplifying their analysis, interpretation, and decision-making process as well. In fact, the role of AI and machine learning in cardiovascular imaging relies on evaluating images more quickly, improving their quality, nulling intraobserver and interobserver variability in their interpretation, upgrading the understanding of the stage of the disease, and providing with a personalized approach to cardiovascular care. In addition, AI algorithm could be directed toward workflow management. This article presents an overview of the existing AI literature in cardiac magnetic resonance, with its strengths and limitations, recent applications, and promising developments. We conclude that AI is very likely be used in all the various process of diagnosis routine mode for cardiac care of patients.","Artificial Intelligence, Cardiac Magnetic Resonance, Cardiovascular Imaging, Deep Learning, Machine Learning","artificial intelligence,cardiac magnetic resonance,cardiovascular imaging,deep learning,machine learning",,15360237,10.1097/RTI.0000000000000584,
41,P,Prognostic role of cardiovascular magnetic resonance in Takotsubo syndrome: A systematic review,Not started,,2024,Review,,,,"Anna Palmisano, Antonio Esposito, Francesco Pisu, Jasjit S. Suri, Luca Saba, Riccardo Cau","Background: Takotsubo syndrome (TS) is characterized by transient myocardial dysfunction with outcomes ranging from favorable to life-threatening. Cardiovascular magnetic resonance (CMR) has emerged as an essential tool in its diagnosis and management and is consistently recommended by current guidelines in the diagnostic work-up. However, the prognostic value of CMR in patients with TS remains undetermined. The aim of this study was to assess the prognostic value of CMR in managing patients with TS. Method: PubMed, MEDLINE via Ovid, Scopus, and the Cochrane Library were searched to identify studies reporting the prognostic role of multiparameteric CMR in patients with TS with a follow-up ≥ 12 months. The primary endpoint was major adverse cardiovascular and cerebrovascular events (MACCE), defined as all-cause mortality, cardiac death, heart failure, sudden cardiac death, recurrence of TS, and cerebrovascular events. Results: Five studies with 564 patients were included for reporting correlation of CMR parameters with MACCE. Primary endpoint occurred in 69 (12%) patients. Among the CMR parameters assessed, myocardial strain parameters (including measurements of the left atrium, left and right ventricle), right ventricle involvement, and a CMR-based radiomics model demonstrated correlations with MACCE. Additionally, one study showed the predictive ability of a CMR score. Conclusion: The current systematic review suggests that CMR may offer prognostic insights in TS patients, underscoring its potential clinical utility for integration into clinical practice. However, scarce data are currently available; hence, further research is needed.","Cmr, Outcome, Prognosis, Takotsubo","CMR,Outcome,Prognosis,Takotsubo",,18727727,10.1016/j.ejrad.2024.111576,
42,R,Random Forests,Not started,,2001,,,,,Leo Breiman,"Random forests are a combination of tree predictors such that each tree depends on the values of a random vector sampled independently and with the same distribution for all trees in the forest. The generalization error for forests converges a.s. to a limit as the number of trees in the forest becomes large. The generalization error of a forest of tree classifiers depends on the strength of the individual trees in the forest and the correlation between them. Using a random selection of features to split each node yields error rates that compare favorably to Adaboost (Y. Freund & R. Schapire, Machine Learning: Proceedings of the Thirteenth International conference, * * * , 148-156), but are more robust with respect to noise. Internal estimates monitor error, strength, and correlation and these are used to show the response to increasing the number of features used in the splitting. Internal estimates are also used to measure variable importance. These ideas are also applicable to regression.","Classification, Ensemble, Regression","classification,ensemble,regression",,,,
43,R,Recent highlights on Takotsubo syndrome,Not started,,2025,,,,,"Emanuela Montalto, Francesco Pelliccia, Paolo G. Camici",,"Prognosis, Review, Takotsubo Syndrome",,,18741754,10.1016/j.ijcard.2024.132638,
44,R,Regularization and variable selection via the elastic net,Not started,,2005,,,,,"Hui Zou, Trevor Hastie","We propose the elastic net, a new regularization and variable selection method. Real world data and a simulation study show that the elastic net often outperforms the lasso, while enjoying a similar sparsity of representation. In addition, the elastic net encourages a grouping effect, where strongly correlated predictors tend to be in or out of the model together. The elastic net is particularly useful when the number of predictors (p) is much bigger than the number of observations (n). By contrast, the lasso is not a very satisfactory variable selection method in the p n case. An algorithm called LARS-EN is proposed for computing elastic net regularization paths efficiently, much like algorithm LARS does for the lasso.","Grouping Effect, Lars Algorithm, Lasso, P N Problem, Penalization, Variable Selection","Grouping effect,LARS algorithm,Lasso,Penalization,Variable selection,p n problem",https://academic.oup.com/jrsssb/article/67/2/301/7109482,,,
45,R,Revolutionizing Cardiology through Artificial Intelligence—Big Data from Proactive Prevention to Precise Diagnostics and Cutting-Edge Treatment—A Comprehensive Review of the Past 5 Years,Not started,,2024,Review,,,,"Alin Ionut Piraianu, Ana Fulga, Elena Stamate, Ionica Grigore, Iuliu Fulga, Oana Duca, Oana Roxana Ciobotaru, Octavian Catalin Ciobotaru, Rodica Crassas, Vlad Vintila","Background: Artificial intelligence (AI) can radically change almost every aspect of the human experience. In the medical field, there are numerous applications of AI and subsequently, in a relatively short time, significant progress has been made. Cardiology is not immune to this trend, this fact being supported by the exponential increase in the number of publications in which the algorithms play an important role in data analysis, pattern discovery, identification of anomalies, and therapeutic decision making. Furthermore, with technological development, there have appeared new models of machine learning (ML) and deep learning (DP) that are capable of exploring various applications of AI in cardiology, including areas such as prevention, cardiovascular imaging, electrophysiology, interventional cardiology, and many others. In this sense, the present article aims to provide a general vision of the current state of AI use in cardiology. Results: We identified and included a subset of 200 papers directly relevant to the current research covering a wide range of applications. Thus, this paper presents AI applications in cardiovascular imaging, arithmology, clinical or emergency cardiology, cardiovascular prevention, and interventional procedures in a summarized manner. Recent studies from the highly scientific literature demonstrate the feasibility and advantages of using AI in different branches of cardiology. Conclusions: The integration of AI in cardiology offers promising perspectives for increasing accuracy by decreasing the error rate and increasing efficiency in cardiovascular practice. From predicting the risk of sudden death or the ability to respond to cardiac resynchronization therapy to the diagnosis of pulmonary embolism or the early detection of valvular diseases, AI algorithms have shown their potential to mitigate human error and provide feasible solutions. At the same time, limits imposed by the small samples studied are highlighted alongside the challenges presented by ethical implementation; these relate to legal implications regarding responsibility and decision making processes, ensuring patient confidentiality and data security. All these constitute future research directions that will allow the integration of AI in the progress of cardiology.","Arithmology, Artificial Intelligence, Cardiology, Deep Learning, Machine Learning, Valvular Disease","arithmology,artificial intelligence,cardiology,deep learning,machine learning,valvular disease",,20754418,10.3390/diagnostics14111103,
46,S,State-of-the-art myocardial strain by CMR feature tracking: clinical applications and future perspectives,Not started,,2022,,,,,"Jing Xu, Minjie Lu, Shihua Zhao, Wenjing Yang","Based on conventional cine sequences of cardiac magnetic resonance (CMR), feature tracking (FT) is an emerging tissue tracking technique that evaluates myocardial motion and deformation quantitatively by strain, strain rate, torsion, and dyssynchrony. It has been widely accepted in modern literature that strain analysis can offer incremental information in addition to classic global and segmental functional analysis. Furthermore, CMR-FT facilitates measurement of all cardiac chambers, including the relatively thin-walled atria and the right ventricle, which has been a difficult measurement to obtain with the reference standard technique of myocardial tagging. CMR-FT objectively quantifies cardiovascular impairment and characterizes myocardial function in a novel way through direct assessment of myocardial fiber deformation. The purpose of this review is to discuss the current status of clinical applications of myocardial strain by CMR-FT in a variety of cardiovascular diseases. Key Points • CMR-FT is of great value for differential diagnosis and provides incremental value for evaluating the progression and severity of diseases. • CMR-FT guides the early diagnosis of various cardiovascular diseases and provides the possibility for the early detection of myocardial impairment and additional information regarding subclinical cardiac abnormalities. • Direct assessment of myocardial fiber deformation using CMR-FT has the potential to provide prognostic information incremental to common clinical and CMR risk factors.","Cardiovascular Diseases, Diagnosis, Magnetic Resonance Imaging, Prognosis, Strain","Cardiovascular diseases,Diagnosis,Magnetic resonance imaging,Prognosis,Strain",https://doi.org/10.1007/s00330-022-08629-2,,10.1007/s00330-022-08629-2/Published,
47,S,Stepwise approach for diagnosis and management of Takotsubo syndrome with cardiac imaging tools,Not started,,2022,,,,,"Adriana Mallardi, Alessandra Leopizzi, Enrica Vitale, Francesco Santoro, Ingo Eitel, Matteo Di Biase, Natale Daniele Brunetti, Paolo Trambaiolo, Thomas Stiermaier","Takotsubo syndrome is featured by transient left ventricle dysfunction in the absence of significant coronary artery disease, mainly triggered by emotional or physical stress. Its clinical presentation is similar to acute coronary syndrome; therefore, cardiac imaging tools have a crucial role. Coronary angiography is mandatory for exclusion of pathological stenosis. On the other side, transthoracic echocardiography is the first non-invasive imaging modality for an early evaluation of left ventricle systolic and diastolic function. Left ventricle morphologic patterns could be identified according to the localization of wall motion abnormalities. Moreover, an early identification of potential mechanical and electrical complications such as left ventricle outflow tract obstruction, mitral regurgitation, thrombus formation, right ventricular involvement, cardiac rupture, and cardiac rhythm disorders could provide additional information for clinical management and therapy. Because of the dynamic evolution of the syndrome, comprehensive serial echocardiographic examinations should be systematically performed. Advanced techniques, including speckle-tracking echocardiography, cardiac magnetic resonance, and nuclear imaging can provide mechanistic and pathophysiologic insights into this syndrome. This review focuses on these aspects and provide a stepwise approach of all cardiac imaging tools for the diagnosis and the management of Takotsubo syndrome.","Cardiac Magnetic Resonance, Coronary Computed Tomography, Echocardiography, Multimodality Imaging, Nuclear Imaging, Stress Cardiomyopathy, Takotsubo Syndrome","Cardiac magnetic resonance,Coronary computed tomography,Echocardiography,Multimodality imaging,Nuclear imaging,Stress cardiomyopathy,Takotsubo syndrome",,15737322,10.1007/s10741-021-10205-7,
48,S,Strain imaging using cardiac magnetic resonance,Not started,,2017,,,,,"A. Baritussio, A. Scatteia, C. Bucciarelli-Ducci","The objective assessments of left ventricular (LV) and right ventricular (RV) ejection fractions (EFs) are the main important tasks of routine cardiovascular magnetic resonance (CMR). Over the years, CMR has emerged as the reference standard for the evaluation of biventricular morphology and function. However, changes in EF may occur in the late stages of the majority of cardiac diseases, and being a measure of global function, it has limited sensitivity for identifying regional myocardial impairment. On the other hand, current wall motion evaluation is done on a subjective basis and subjective, qualitative analysis has a substantial error rate. In an attempt to better quantify global and regional LV function; several techniques, to assess myocardial deformation, have been developed, over the past years. The aim of this review is to provide a comprehensive compendium of all the CMR techniques to assess myocardial deformation parameters as well as the application in different clinical scenarios.","Cardiovascular Magnetic Resonance, Cmr Tagging, Feature Tracking, Myocardial Deformation Imaging, Myocardial Strain","CMR tagging,Cardiovascular magnetic resonance,Feature tracking,Myocardial deformation imaging,Myocardial strain",,15737322,10.1007/s10741-017-9621-8,
